id,ratedFloodZone,elevationDifference,postFIRMConstructionIndicator,primaryResidenceIndicator,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim
1cb3d841-64eb-4cd6-9bc2-cf9c30f1ada7,,,0,0,440.00,0.00,0.00
d9232eef-45f6-4ee3-90d6-4c70ba868481,A11,,0,0,,,
69f23c53-e521-4f70-92c8-b952f406945f,A18,,0,0,,,
0c985e35-2db6-4ac8-ade6-bacd7d5f3e8d,X,,0,1,75000.00,18000.00,22000.00
2b15c955-27b9-44f0-b0d6-fda9ed4b5d19,A02,1.0,1,0,,,
96a716fc-6fcb-4a1b-bc05-654cb5dd3de3,AE,,0,0,30244.43,0.00,0.00
c645cc4f-1dc9-488e-ba6c-bc5cd5b047f7,A04,,0,1,55088.74,23454.50,0.00
ad2d5f2f-5181-4fd6-919d-5e50564bc4ea,V08,,0,0,749.00,0.00,0.00
6f2ed2d4-d561-48e8-8e11-d0f467c396f6,VE,-6.0,1,1,0.00,0.00,0.00
aca898b4-5a68-4b6b-9a0b-448c3297f38c,AE,,0,1,10048.51,1804.68,0.00
a50439e3-0830-4588-aefe-2b6cfcbbd204,X,,0,1,,,
1eb6544f-a8d0-4c27-b2b7-fa8406f88394,A19,,0,0,55035.11,27409.01,0.00
2708f49d-7eb6-4b97-b885-29f8fe8f7a63,A10,,0,0,2205.31,0.00,0.00
ea0fc248-a705-4850-8d5f-53b12647c4f2,AE,1.0,0,1,86586.91,21400.00,0.00
13762311-ff6d-4b59-8044-aab94a4af201,AE,,0,1,27000.00,5000.00,0.00
31eddd21-b84e-4b7d-b1d0-c39cb70d6728,X,,0,0,50103.58,0.00,0.00
46f8b3b6-3dad-4457-91b6-d054e72411f6,A06,,0,0,0.00,2470.73,0.00
569b34ab-8d55-4625-9b3d-c59278c89f16,AE,,0,1,80197.62,10000.00,0.00
3c48a0c8-fa07-4322-bcef-79a5f6ac0b08,A04,1.0,1,1,,,
2bdcefb9-4521-4615-a34b-7e66fe31fd0b,AE,2.0,1,1,2811.75,0.00,0.00
82757e04-99fd-42c4-aefb-dd1f3fbc4dc0,AE,,1,0,0.00,0.00,0.00
c601d509-1dc6-4def-bb23-fc92264f983b,AE,0.0,1,1,25275.40,7040.00,0.00
626d74fd-991e-41e3-a33f-ce91aab61bbc,A02,3.0,1,1,0.00,0.00,0.00
22cb3718-1d40-4487-a52d-0fb0a524852e,X,,1,0,44371.36,0.00,0.00
52212ae4-89b8-49e2-a1da-ed838bf24fc7,A10,2.0,1,1,65000.00,26000.00,0.00
c184775b-e696-424a-befc-aac8e7b3b1c9,,,0,0,304.22,496.00,0.00
2320977c-7147-47f7-a96c-728f12b254c8,AE,3.0,1,1,451.10,0.00,0.00
054f6f80-1ab0-43bb-ae1d-7b6df6d75bec,AE,,0,1,85745.52,0.00,0.00
42656dd7-031b-4fd6-9a3c-020bf3407e31,X,,0,1,,,
b08798f1-0e89-4269-92c4-690b63e3f5cf,AE,,0,1,78273.36,23738.48,0.00
f7cfbcf6-ceac-4d3d-94a8-b5ba72b20c36,C,,0,0,1178.95,0.00,0.00
9126e43b-0dab-48ab-989b-f983faa99702,AE,1.0,0,1,2861.93,0.00,0.00
