id,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,netBuildingPaymentAmount,netContentsPaymentAmount
167add2d-3265-4392-9c4c-2619b34e6580,3542.85,0.00,0.00,3542.85,0.00
87fe141d-0156-4c1b-96e3-654c92df3ad5,1550.90,0.00,0.00,1550.90,0.00
bf6bd713-2e68-4f37-b995-8d49f9089e77,60707.15,0.00,0.00,60707.15,0.00
17806c27-8609-4408-b11b-02749ccf13be,935.90,0.00,0.00,935.90,0.00
766c7449-75f6-4539-b80f-831c78d48f88,,,,0.00,0.00
05f75285-0cf9-4961-8e60-bdf16165bb73,26795.71,13813.00,0.00,26795.71,13813.00
d48267fa-c8ec-4a75-8cf0-bfc9d8afd5c7,9161.16,0.00,0.00,9161.16,0.00
c33af682-97cd-4540-ab0a-488411792e87,1193.75,1067.00,0.00,1193.75,1067.00
a1acd399-2ea1-48b5-b853-46062b58a624,56999.15,18138.05,0.00,56999.15,18138.05
8a9a3eab-e041-4e30-8d91-b959ae25d0e3,2996.74,5082.90,0.00,2996.74,5082.90
cd94e3c9-fd0f-4f0f-9941-1b2b9db0ebe4,,,,0.00,0.00
a08c725b-2d5a-4ea1-97cd-560826ae8b94,8957.00,6000.00,0.00,8957.00,6000.00
aec61d79-6747-4f94-8482-eab5a6181820,5645.11,0.00,0.00,5645.11,0.00
2bcb37c8-a397-45e6-b679-281830853130,29748.71,10181.33,0.00,29748.71,10181.33
e250edfe-50ce-435d-b489-7b774f3e5032,781.99,0.00,0.00,781.99,0.00
7fc04b81-91c7-4c76-acdd-bcf833ec8c4e,6808.60,0.00,0.00,6808.60,0.00
489de8a5-0458-4975-b7de-a6a9d31137d3,4332.59,0.00,0.00,4332.59,0.00
d2c97736-cb4e-4d79-b8e4-13f82cad1cd8,110812.56,53247.83,0.00,110812.56,53247.83
cb433201-66dd-4154-a70a-b90571e50bc6,0.00,2595.42,0.00,0.00,2595.42
e4364d0b-099d-4cdd-b9d2-2c9fec774c8b,11082.31,451.98,0.00,11082.31,451.98
6df664ac-2616-4d71-acf5-5f578d7bad33,118275.99,50000.00,0.00,118275.99,50000.00
8e1d1238-e479-478c-bd1d-369ebd79ba96,4214.21,0.00,0.00,4214.21,0.00
556c42e7-65e9-4263-922a-d3c9bf16e355,,,,0.00,0.00
5d167377-bb42-4901-8359-70bf31fd1cdd,13340.14,0.00,0.00,13340.14,0.00
0013fb6e-017e-4dc5-a676-3ca170d02b89,1120.60,0.00,0.00,1120.60,0.00
e1817563-a4b5-42d7-9baa-ae64b07e7b78,5008.43,0.00,0.00,5008.43,0.00
afd387fd-c0ee-4c3b-ab18-9519ba38f240,16077.13,0.00,0.00,16077.13,0.00
342cd8f0-3266-45ea-9c9e-07b8960a5dcb,47940.33,0.00,0.00,47940.33,0.00
4e85bf49-3345-4408-999e-d1efbcbdb88b,12610.30,0.00,0.00,12610.30,0.00
b4ac7e2e-81e4-483b-b614-12cd71055685,1070.50,820.20,0.00,1070.50,820.20
70592ea5-7f21-46a3-a961-f9feaf6a630d,31272.78,25570.12,0.00,31272.78,25570.12
420a5e7c-c311-4bf2-a2d2-72dc4645875c,400000.00,150000.00,0.00,400000.00,150000.00
3cb7ca35-a643-4fc2-8121-673a66ae45f0,8004.80,0.00,0.00,8004.80,0.00
6e18584a-acd9-483d-95a5-f73dcefda7dd,440.00,0.00,0.00,440.00,0.00
49960255-7d16-444c-8ce2-f01ee86b5b59,,,,0.00,0.00
99a91b97-434d-4faa-9f21-293ce408a3e8,,,,0.00,0.00
4cc8fb2a-893e-467d-9dbb-3fcb32446bc0,75000.00,18000.00,22000.00,75000.00,18000.00
d82c8630-26fb-4e40-b71a-5ef03690dd06,,,,0.00,0.00
5e82a941-f6bd-4b3c-b495-b09982f2f048,30244.43,0.00,0.00,30244.43,0.00
00dca962-258e-4a88-b2d2-18d853631728,55088.74,23454.50,0.00,55088.74,23454.50
a216c64d-cdda-4cde-91ee-781a129fd461,749.00,0.00,0.00,749.00,0.00
79c28448-4bf7-4c28-9b3c-559fde93f136,0.00,0.00,0.00,0.00,0.00
11d3f742-32be-4979-8c38-8b18fb71e3ca,10048.51,1804.68,0.00,10048.51,1804.68
2f6696e2-4371-4073-9a2f-6cd64c1779cc,,,,0.00,0.00
0010d292-21e9-4fa5-8c03-d8f8779d4510,55035.11,27409.01,0.00,55035.11,27409.01
